mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	mean_test_roc_auc	mean_train_accuracy	mean_train_precision	mean_train_recall	mean_train_roc_auc	param_SVM__C	param_SVM__class_weight	param_SVM__dual	param_SVM__loss	param_SVM__penalty	param_TFIDF__ngram_range	param_TFIDF__tokenizer	param_TFIDF__use_idf	params	rank_test_accuracy	rank_test_precision	rank_test_recall	rank_test_roc_auc	split0_test_accuracy	split0_test_precision	split0_test_recall	split0_test_roc_auc	split0_train_accuracy	split0_train_precision	split0_train_recall	split0_train_roc_auc	split1_test_accuracy	split1_test_precision	split1_test_recall	split1_test_roc_auc	split1_train_accuracy	split1_train_precision	split1_train_recall	split1_train_roc_auc	split2_test_accuracy	split2_test_precision	split2_test_recall	split2_test_roc_auc	split2_train_accuracy	split2_train_precision	split2_train_recall	split2_train_roc_auc	split3_test_accuracy	split3_test_precision	split3_test_recall	split3_test_roc_auc	split3_train_accuracy	split3_train_precision	split3_train_recall	split3_train_roc_auc	split4_test_accuracy	split4_test_precision	split4_test_recall	split4_test_roc_auc	split4_train_accuracy	split4_train_precision	split4_train_recall	split4_train_roc_auc	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall	std_test_roc_auc	std_train_accuracy	std_train_precision	std_train_recall	std_train_roc_auc
11.5386857986	2.9137162685	0.9241540257	0.2449757289	0.1530333895	0.6029801067	0.929301088	0.8879829731	0.6834904971	0.8935888888	0.1	balanced	False	squared_hinge	l1	(1, 1)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 1), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	4	17	17	19	0.984362003	0	0	0.5426757976	0.8233918129	0.9487179487	0.419053964	0.735800731	0.980349345	0.03125	0.0666666667	0.5367472527	0.9246412835	0.9041227229	0.6245033113	0.8856362388	0.8669482577	0.8920863309	0.5276595745	0.7629123835	0.9583088091	0.8865058088	0.7689922481	0.9367826584	0.7085533263	0.9299363057	0.5347985348	0.7716240534	0.9672356288	0.8464017186	0.8049029622	0.9508749945	0.6786469345	0.985472155	0.5773049645	0.8175686413	0.9729279058	0.8541666667	0.8	0.9588498211	2.5069384871	2.7678749432	0.1093261489	0.4047260359	0.2318866176	0.1066091461	0.0555378517	0.0369430754	0.1476700162	0.0829056528
32.3147377014	6.2818403721	0.922897406	0.2473157859	0.1500219584	0.6059936453	0.9232367293	0.8742173341	0.6582439053	0.8842720718	0.1	balanced	False	squared_hinge	l1	(1, 2)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 2), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	7	12	20	16	0.9850274497	0	0	0.5441790546	0.8074074074	0.9507908612	0.3604263824	0.7042239132	0.980349345	0.03125	0.0666666667	0.5509450549	0.9207999096	0.888568684	0.6125827815	0.876235937	0.8701161563	0.9179104478	0.5234042553	0.768363017	0.9544830292	0.8747731397	0.7472868217	0.9366921147	0.7085533263	0.9299363057	0.5347985348	0.7700163511	0.9641946243	0.8238396624	0.797752809	0.9515811421	0.656448203	0.9871794872	0.5460992908	0.8052911921	0.9692986758	0.8331143233	0.7731707317	0.952627252	7.2345042698	5.9494351614	0.1137168197	0.4085465089	0.2265549498	0.1028830183	0.0603290199	0.0453809266	0.1620985908	0.0942684692
54.4393023014	9.6520833969	0.9230769231	0.2464903133	0.1507453741	0.6078967258	0.9191562778	0.8611441533	0.6502404098	0.88024885	0.1	balanced	False	squared_hinge	l1	(1, 3)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 3), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	6	15	19	15	0.985859258	0	0	0.5488558544	0.7906432749	0.9383983573	0.3044636909	0.6934179455	0.9786026201	0.0277777778	0.0666666667	0.5504175824	0.9214777991	0.8847969783	0.6205298013	0.8734866589	0.8722280887	0.9191176471	0.5319148936	0.768781377	0.9539925446	0.8648888889	0.7542635659	0.9328873183	0.7085533263	0.9299363057	0.5347985348	0.7692033652	0.9629193643	0.8120456906	0.7987742594	0.9504381485	0.6553911205	0.9846547315	0.5460992908	0.7996586328	0.9667484061	0.8055908513	0.7731707317	0.9510141789	13.5530971978	9.1815204449	0.1139137912	0.4087071386	0.2277564487	0.1004696027	0.0662038749	0.0490683597	0.1835424992	0.0976284711
76.9960225105	13.0618106365	0.9242437842	0.2447916868	0.1513638392	0.6021501092	0.91903803	0.8605005695	0.6525212556	0.8768098354	0.1	balanced	False	squared_hinge	l1	(1, 4)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 4), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	3	18	18	20	0.9891864914	0	0	0.5369724681	0.7892787524	0.9506437768	0.2951365756	0.6759910588	0.9772925764	0.0256410256	0.0666666667	0.5512527473	0.9236244492	0.8861111111	0.6337748344	0.8767198832	0.8732840549	0.9020979021	0.5489361702	0.7687485059	0.95350206	0.857267951	0.7589147287	0.9323698259	0.7064413939	0.9322580645	0.5293040293	0.7730490623	0.9619383951	0.8049535604	0.7967313585	0.9503018073	0.6522198732	0.9845360825	0.5418439716	0.8016509226	0.9668464934	0.8035264484	0.7780487805	0.9486666016	18.9135316099	12.3774499661	0.1157160579	0.4068973866	0.2288228228	0.105099182	0.0665918392	0.0549975785	0.1875891906	0.1039033844
12.0182440281	2.8933354378	0.9225383718	0.2560334119	0.3126296628	0.6105135944	0.9908183112	0.93999299	0.9955858966	0.9980707101	1	balanced	False	squared_hinge	l1	(1, 1)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 1.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 1), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	8	1	7	14	0.9645649642	0.0298507463	0.25	0.5096389399	0.9873294347	0.9705111402	0.9866755496	0.9978203197	0.972489083	0.02	0.0666666667	0.5768791209	0.9911874364	0.9525916561	0.998013245	0.998734992	0.8870116156	0.8440860215	0.6680851064	0.8644842219	0.9906807926	0.9339143065	0.9968992248	0.9976320198	0.7434002112	0.9416909621	0.5915750916	0.841750934	0.9932313125	0.9341603053	1	0.9996313246	0.7494714588	0.989539749	0.6709219858	0.8471822489	0.9916625797	0.9087875417	0.9963414634	0.9965348943	2.7341858991	2.7594845091	0.0827291395	0.3925479289	0.2068952887	0.1432010649	0.0019423073	0.0206631773	0.0046274469	0.0010479182
32.4339841366	6.3968794346	0.9207432008	0.2541889981	0.3120425106	0.6033926476	0.9894095438	0.9323510641	0.993670419	0.9971284858	1	balanced	False	squared_hinge	l1	(1, 2)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 1.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 2), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	9	7	9	18	0.9614040925	0.0272727273	0.25	0.5177467847	0.9861598441	0.969160105	0.9840106596	0.9959340967	0.9737991266	0.0212765957	0.0666666667	0.5332307692	0.9890407864	0.942391985	0.9966887417	0.9982889802	0.8827877508	0.8483146067	0.6425531915	0.8593174755	0.989013145	0.924351585	0.9945736434	0.9960323555	0.7634635692	0.9398907104	0.63003663	0.8337169896	0.9920541495	0.9251893939	0.9979570991	0.9988882651	0.7293868922	0.9786780384	0.6510638298	0.830675966	0.990779794	0.9006622517	0.9951219512	0.9964987317	8.1763524503	6.1063787235	0.0824922716	0.3917543074	0.2051650724	0.1394003332	0.0019862118	0.0226944381	0.0049743263	0.0012221479
55.4633187294	9.650591898	0.9164347904	0.2494946333	0.3150968728	0.6058492147	0.9881552723	0.9278317424	0.9912049413	0.9961370851	1	balanced	False	squared_hinge	l1	(1, 3)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 1.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 3), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	11	10	6	17	0.9547496257	0.0230769231	0.25	0.5082191971	0.9832358674	0.9657669519	0.9773484344	0.9941594003	0.9681222707	0.0166666667	0.0666666667	0.5727765568	0.9874590442	0.9363693075	0.9940397351	0.9970730028	0.8848996832	0.835106383	0.6680851064	0.8551099689	0.9883264665	0.920315865	0.9937984496	0.9955865146	0.7687434002	0.9336870027	0.6446886447	0.8402003234	0.9920541495	0.9259962049	0.9969356486	0.9981860525	0.7272727273	0.9806451613	0.6468085106	0.8221388423	0.9897008337	0.8907103825	0.993902439	0.9956804553	13.5105561945	9.1493305846	0.0794869173	0.3913250047	0.2100958003	0.1388859061	0.0029087657	0.0242891874	0.0070268432	0.0013781934
77.5234251022	12.9468097687	0.9132034826	0.2414884382	0.2471022985	0.6128967806	0.9880929472	0.9296928433	0.9887128991	0.9953349808	1	balanced	False	squared_hinge	l1	(1, 4)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 1.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 4), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	14	20	16	13	0.9510896689	0.0108695652	0.125	0.5207672179	0.9822612086	0.9675066313	0.9720186542	0.9935763409	0.9641921397	0.0144927536	0.0666666667	0.5808058608	0.9880239521	0.9409547739	0.9920529801	0.9960224756	0.8806758184	0.8177083333	0.6680851064	0.8486224002	0.9891112419	0.9281045752	0.9906976744	0.9939048385	0.7666314678	0.9333333333	0.641025641	0.8316320006	0.9916617618	0.9240986717	0.9948927477	0.9974673793	0.7283298097	0.9869565217	0.6439716312	0.8210411701	0.9894065718	0.8877995643	0.993902439	0.9957038699	20.4822996316	12.2216301289	0.0782751899	0.3941861326	0.237412334	0.1313775176	0.0031468367	0.0258672682	0.0084724865	0.00143485
23.9654222965	2.9168731213	0.9244233013	0.2550767829	0.2992541398	0.645376695	0.9959656697	0.9722305382	0.9984042371	0.9988643718	5	balanced	False	squared_hinge	l1	(1, 1)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 5.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 1), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	2	3	13	9	0.9637331559	0.0291262136	0.25	0.5506792495	0.9943469786	0.9823066841	0.998667555	0.9991828723	0.9816593886	0	0	0.6325567766	0.9962716077	0.9792342635	0.9993377483	0.9994385611	0.8975712777	0.875	0.685106383	0.8734460913	0.9955856386	0.9683972912	0.9976744186	0.9983872765	0.7465681098	0.9526627219	0.5897435897	0.8492367981	0.9979399647	0.979	1	0.9999341572	0.7410147992	0.9893617021	0.6595744681	0.8457432094	0.9956841589	0.9522144522	0.9963414634	0.9973789919	8.0516602266	2.7823460823	0.0843415716	0.4009134858	0.2248740426	0.1274168021	0.001169211	0.011061139	0.001286461	0.0008954943
53.9072097778	6.2730480671	0.9167938246	0.2541999437	0.3102099692	0.6342220526	0.9955010556	0.9712705018	0.9968029133	0.9983392987	5	balanced	False	squared_hinge	l1	(1, 2)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 5.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 2), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	10	6	10	10	0.9537514557	0.022556391	0.25	0.5551472635	0.9931773879	0.9822368421	0.9946702199	0.9981526966	0.9772925764	0.0256410256	0.0666666667	0.5804835165	0.9957066998	0.9766839378	0.9986754967	0.9991146974	0.8848996832	0.8539325843	0.6468085106	0.8576380588	0.9952913479	0.9683257919	0.9953488372	0.9976588346	0.7539598733	0.9433427762	0.6098901099	0.84597572	0.9977437708	0.978	0.9989785495	0.9991975822	0.7304439746	0.9891304348	0.6453900709	0.8311291604	0.9955860716	0.9511059371	0.9963414634	0.9975726829	15.3903710889	5.9680763701	0.0823297706	0.3955921315	0.2023646248	0.1237485214	0.0014507031	0.0110465654	0.0017387131	0.0006961961
